name,score
RAC,3650
CAZ,1480
BIL,760
GHU,1400
MKY,840
MUM,1120
JAM,1120
EGF,1800
LLM,1440
MAC,3800
RRR,400
MAC,3300
MAC,2190
CHA,1160
DPF,1120
ESW,1440
PAP,800
BOB,1800
MUM,1800
JAD,800
ACA,3650
LOL,840
EJB,1520
OLI,1760
TYU,1400
GIL,1400
RHG,1480
EMY,4160
RAS,4750
RAS,6990
RAS,4720
RAS,4700
RAS,7440
DOG,1160
BFR,3320
AAP,1440
LUC,2150
AAP,760
AAP,1520
TOM,520
GHG,80
BNH,240
HBA,0
EMI,440
CHL,1760
TOM,120
TOM,120
TOM,1160
MAX,1400
SEP,1200
TOM,1480
ALD,4270
MIN,120
MIN,40
MIN,40
MON,440
MON,80
NOB,1480
STU,1800
NOB,1160
DS.,1800
JRN,4300
ALD,4200
HAJ,1760
HAJ,40
RAY,1160
VIC,1480
VIN,840
FIN,1480
HOL,1760
HAN,1840
CAM,1120
JRN,6300
QDG,680
HQA,520
ALI,1160
NUT,1840
MAL,2670
MAL,1800
SAI,160
ALI,800
ALI,480
CPP,1520
SAR,3760
HI.,1160
SAR,4190
SAR,3730
SAR,1760
SAR,3680
NIC,4720
SAS,40
SBX,1800
DUT,3540
JOA,1720
HAS,3170
AND,2680
MAT,4200
AND,3320
KAT,440
JIL,3800
MAE,480
IYU,160
TYU,120
LOU,1840
MAD,1200
KM.,4870
JON,2650
SAM,4160
SAM,8870
SAM,4370
KNK,3710
AJB,3620
ASH,1800
ADA,1760
EMM,2750
GOR,1480
ROM,4270
DAN,1800
CVC,80
MOZ,160
VVV,520
BAZ,1840
EAR,1720
RAU,1160
JRN,6930
ALD,3760
ALD,3750
NBB,680
BOB,720
EMZ,1800
GRA,3320
SHE,160
JON,1000
JON,240
BOB,1760
DAN,1760
SJL,1800
SJL,3230
RGJ,0
ZOE,0
ZOE,1160
MUM,1440
BOB,1200
ANN,1800
RHY,1400
LOZ,1120
RNA,2690
TAB,840
ALO,1400
TIN,1760
DEA,1480
TIN,2230
ALD,3300
JRN,4670
ALD,3870
SEL,1480
BCC,880
XGG,1200
JCC,1520
CER,3210
JCC,520
JNJ,1520
LIM,4620
OLL,760
COL,480
ZYC,800
PAT,480
GBG,800
PXH,1800
JIM,4570
JAM,160
MQT,560
AVA,800
TIG,2650
MJD,2820
MEG,1760
LES,1760
JPZ,160
MEG,760
FIN,1320
FIN,480
GDG,440
TER,1120
TER,3370
ALI,2720
GAP,200
SOP,2090
CAL,560
CRM,3700
JAM,80
GAZ,1800
JAM,3010
KAT,1760
CHM,2650
LIL,560
LIL,3560
LFC,2150
ASS,80
FI.,480
MRG,120
DFH,40
LUC,400
ALI,800
ANN,400
ANN,1200
AMY,480
AMY,480
MMW,1440
AND,520
AMA,480
JAS,480
OOO,1720
HGB,2700
PRC,1120
GFS,880
CNC,1440
MIN,1760
ES.,4220
MAT,2730
MAT,1520
EBO,120
FFG,1520
TRP,840
JJU,1400
YRX,40
SAR,1400
AND,1440
SAZ,1200
AND,2710
GDD,160
LIL,120
TYL,120
UDJ,1720
FYH,1400
JLS,1440
CEW,6840
ZXC,800
ZOE,760
TOM,1840
SAM,1480
YFH,200
FXV,160
AJD,400
JJC,400
PLA,1720
BEN,2150
ESC,1840
VYF,1000
ROB,1800
LAU,120
AMY,1520
